"TITER","sV","sU","M1_CY_Plug","M1_CY_Ours","M2_CY_Plug","M2_CY_Ours","OR_ICC","PS_ICC"
100,0,0,399.568716204359,399.601069380108,1597.03834336768,1597.27791448295,-0.000701672123946029,0.0529134368855309
100,0.1,0,400.834835627116,400.843709391868,1606.90749373061,1606.96661472986,-0.00109131900265651,0.0522412448645727
100,0.2,0,399.82812161586,399.810794765826,1598.90913330415,1598.76593792716,0.00094456650956924,0.0573899574552283
100,0.3,0,400.279229743102,400.208990178609,1602.54197670394,1601.9898256865,-0.00163306534642242,0.0655399665400529
100,0.4,0,400.240160173725,400.322787167659,1602.19795032495,1602.855652184,-0.000287372312458173,0.0759358893817884
100,0.5,0,400.627884300625,400.767286719062,1605.39694134907,1606.51408469443,-0.00155411945345177,0.0858978066232771
100,0.6,0,399.821339406284,399.887472223493,1598.91641354274,1599.42785128124,0.00165974457417211,0.10141877876918
100,0.7,0,400.421250875622,400.343294768216,1603.77057494659,1603.1308641166,-0.00243585593458037,0.117624706235031
100,0.8,0,399.891230012388,399.701329386503,1599.49123567561,1597.98972070678,0.000473645238040759,0.134682283888564
100,0.9,0,399.26327273631,399.128069507487,1594.49100341027,1593.39319678583,0.00161252731588376,0.152242819406074
100,1,0,399.717287771644,399.8059999648,1598.05222779738,1598.77129066228,-0.000530913006090358,0.172306960228805
100,1.1,0,400.052202024506,400.030514554514,1600.71349444876,1600.55630777934,0.000758239822694742,0.194310999231828
100,1.2,0,400.325895377032,400.297161763134,1602.88299320725,1602.65818531329,-0.000633183844429213,0.209507668244726
100,1.3,0,399.687345605334,399.536017633861,1597.870612835,1596.67114366883,-0.00288172921591245,0.230949594606417
100,1.4,0,400.897688678078,400.836475161211,1607.56840164793,1607.09170983365,-0.0019560049619617,0.253728506609564
100,1.5,0,399.892222466236,399.924096422036,1599.4607907259,1599.74053836962,0.00191818133676613,0.268271367861105
100,1.6,0,399.329759194833,399.623927788525,1595.05022512176,1597.42772349434,-0.000600371046842764,0.290326833291198
100,1.7,0,399.726041694244,399.980896793806,1598.07504616357,1600.18588768567,0.00116867422058951,0.310921664285803
100,1.8,0,399.666277744091,399.469573600088,1597.65765205333,1596.18640955616,0.000101027151650484,0.324404676800489
100,1.9,0,400.073749602708,400.166270369812,1600.89083829652,1601.68151042591,-0.00246231917433766,0.347809105553732
100,2,0,400.663756686768,400.449396712098,1605.5934667918,1603.89939415485,-0.00276399637586177,0.366413512152581
100,0,0.1,399.633970584561,399.492809801353,1597.38750856851,1596.25109720128,0.00848582512964794,0.0533570339743423
100,0.1,0.1,399.401821281959,399.400724064677,1595.56463706876,1595.54635739697,0.0129473655508903,0.0547522408584006
100,0.2,0.1,400.033225883237,400.009594426473,1600.6555607715,1600.45816935033,0.0113383815632127,0.0584304829017372
100,0.3,0.1,399.294998562772,399.340876297439,1594.72596678583,1595.07560644781,0.0104123212076433,0.0641765450882597
100,0.4,0.1,399.987222580062,399.866793147705,1600.27282859589,1599.2894349667,0.0102416102750364,0.0750996108604833
100,0.5,0.1,400.488499419081,400.41177849069,1604.26739732617,1603.64950303266,0.00841392713454588,0.0889756357424402
100,0.6,0.1,400.560013187171,400.494147179507,1604.85021483812,1604.32890034899,0.00832266283231989,0.104876019859609
100,0.7,0.1,399.720972448911,399.924210353499,1598.08483147602,1599.70819717898,0.0113553587671743,0.12151110566456
100,0.8,0.1,399.67993266292,399.701819983096,1597.81015608603,1597.97453225069,0.0102012342073089,0.136623509439853
100,0.9,0.1,398.047297241677,398.068255238839,1584.72464439306,1584.89927356477,0.0104101745985407,0.155262524677136
100,1,0.1,400.166347390009,400.278610255483,1601.65883032804,1602.56605271939,0.0108990999865704,0.171340852264338
100,1.1,0.1,399.969321443137,400.066693777013,1600.12062546028,1600.9208581938,0.0110903790708847,0.190160389047663
100,1.2,0.1,400.073071371879,399.855708594106,1600.93044349827,1599.21648522051,0.0118227249985476,0.211757127040314
100,1.3,0.1,401.383145232639,401.216593724667,1611.47668459443,1610.13723067816,0.00962050820763054,0.231186077040702
100,1.4,0.1,399.158663403449,399.257567949612,1593.70217685216,1594.54774921729,0.00807443242623635,0.24752168610164
100,1.5,0.1,401.066234061619,401.019198736118,1608.93822497488,1608.57267811526,0.00832745246633929,0.269440076412714
100,1.6,0.1,400.121182842895,400.224385196577,1601.29498805262,1602.13705389187,0.0099097130471911,0.292387981386335
100,1.7,0.1,399.130385028636,398.813858583076,1593.40377429639,1590.90353647004,0.00782065182634452,0.307214295879326
100,1.8,0.1,399.509533346001,399.756311408091,1596.45791257587,1598.45537050377,0.00901662910742066,0.327519395546052
100,1.9,0.1,400.176861842413,400.00130277853,1601.84265495972,1600.45992792833,0.0108198231884913,0.349867812751209
100,2,0.1,400.555273151553,400.633876502021,1604.741598199,1605.45265617751,0.00848517067347111,0.362008373489047
100,0,0.2,399.435027089818,399.412745403949,1595.72778038487,1595.55114377617,0.0365799828050186,0.0541133303135677
100,0.1,0.2,400.905278178762,400.862782754782,1607.59591042598,1607.25877846757,0.0393777424631346,0.0557896173467697
100,0.2,0.2,400.012268027877,400.024322723894,1600.37812495752,1600.46314790584,0.0420533720623714,0.0597725345742373
100,0.3,0.2,398.769533526974,398.813741627139,1590.53320506894,1590.89849450083,0.0406188525240038,0.0636370799141495
100,0.4,0.2,400.980292441972,400.941664462645,1608.16843086934,1607.86279164764,0.0393067504874949,0.0765389227993502
100,0.5,0.2,400.406259490166,400.295717789494,1603.65748518184,1602.7615792348,0.0377204905748329,0.0857690843658878
100,0.6,0.2,400.887171843396,400.751044051263,1607.46451107185,1606.38087861997,0.0390614323131186,0.102322098070845
100,0.7,0.2,399.907939561851,399.91663944963,1599.68397700725,1599.72982699343,0.0369212731953049,0.117179017742401
100,0.8,0.2,400.656226088026,400.620330219626,1605.71444284125,1605.4119363901,0.0402388251984128,0.133762657783697
100,0.9,0.2,399.560358867016,399.337505448253,1596.79621520426,1595.01252861643,0.0394115209316324,0.153801479043644
100,1,0.2,400.139286710466,400.080334191466,1601.42374546624,1600.95209775038,0.0384345919025408,0.175289044913386
100,1.1,0.2,399.853139727728,399.829364873852,1599.31169577511,1599.09121478419,0.0398438733717411,0.195752724041869
100,1.2,0.2,400.645967586013,400.758689156745,1605.53625665789,1606.42532755586,0.0397719658212302,0.214533673907141
100,1.3,0.2,399.803789948824,399.658333774506,1598.74875381925,1597.62333048759,0.0393647085757177,0.232597234862859
100,1.4,0.2,400.237710767528,400.397378601889,1602.15756722001,1603.48163143495,0.0371012805882544,0.253370318548993
100,1.5,0.2,399.906620620936,400.054169720935,1599.61317379381,1600.82569026516,0.0366551474162839,0.274542748450748
100,1.6,0.2,399.551117357497,399.199837505244,1596.83325887471,1594.04222199094,0.0409503570473579,0.291800656616042
100,1.7,0.2,399.834718479491,399.224783717906,1599.01028325722,1594.21928184775,0.0366841259142835,0.307889458600724
