"Cluster.ID","Ind.ID","BATCH","CPS"
1,1,349,0.933277808111314
1,2,349,0.918980130910748
1,3,349,0.917512703702414
1,4,349,0.921712707570554
1,5,349,0.934335146667049
1,6,349,0.931655711186699
1,7,349,0.91372658660779
1,8,349,0.929314350585741
1,9,349,0.864138373262506
1,10,349,0.9257156276742
1,11,349,0.913476225555411
1,12,349,0.944549872774737
1,13,349,0.903919179250051
1,14,349,0.934090668677933
2,15,349,0.527059035352577
2,16,349,0.815752355536478
2,17,349,0.371784911771711
2,18,349,0.747288009087637
2,19,349,0.778672749859308
2,20,349,0.754494053777978
2,21,349,0.606910191070302
2,22,349,0.764919597811674
2,23,349,0.35221461461703
2,24,349,0.801751287893073
2,25,349,0.741572584302288
2,26,349,0.612902919955759
2,27,349,0.681531253040914
2,28,349,0.26238396051034
2,29,349,0.674084577385814
2,30,349,0.731159434918206
2,31,349,0.770290138826112
2,32,349,0.612154181351325
2,33,349,0.661994646573821
2,34,349,0.344967249948443
2,35,349,0.833867488475897
2,36,349,0.658350226948558
3,37,349,0.540599176975625
3,38,349,0.602952022099366
3,39,349,0.246236436174329
3,40,349,0.733265287868351
3,41,349,0.606061035138889
3,42,349,0.244589963172512
3,43,349,0.646564486900915
3,44,349,0.664713240970069
3,45,349,0.667009317198661
3,46,349,0.399503915098756
3,47,349,0.246650130223853
3,48,349,0.707576651141943
3,49,349,0.207338231947806
3,50,349,0.700398261437202
3,51,349,0.73363920387006
3,52,349,0.338743151810161
3,53,349,0.724709530649477
3,54,349,0.228857919567543
3,55,349,0.753751503781853
3,56,349,0.718608344842048
3,57,349,0.783220626557245
3,58,349,0.682299249133255
4,59,349,0.59705195295574
4,60,349,0.718979452755982
4,61,349,0.262076585884614
4,62,349,0.701160065335459
4,63,349,0.641221150536201
4,64,349,0.218522706256986
4,65,349,0.318380714362927
4,66,349,0.679453508187123
4,67,349,0.757212663658576
4,68,349,0.638997179391002
4,69,349,0.720625001870855
4,70,349,0.325067506756422
4,71,349,0.777834986065058
4,72,349,0.258485965329041
4,73,349,0.677489578832672
4,74,349,0.300675174282036
4,75,349,0.251160131589914
4,76,349,0.269729468608076
4,77,349,0.660961997476053
4,78,349,0.75783420509609
4,79,349,0.270682401996086
4,80,349,0.661174834059662
4,81,349,0.687847008049238
4,82,349,0.683491143188439
5,83,349,0.837887284669402
5,84,349,0.900818169144001
5,85,349,0.113544550168533
5,86,349,0.872586982462268
5,87,349,0.145580150371784
5,88,349,0.87711358596164
5,89,349,0.200736935279551
5,90,349,0.878784342464875
5,91,349,0.80808861498249
5,92,349,0.85200809557846
5,93,349,0.778285902709563
5,94,349,0.844994605239187
5,95,349,0.901466064645535
5,96,349,0.834169505618462
5,97,349,0.802132101910081
5,98,349,0.146024582196639
5,99,349,0.894694266825885
5,100,349,0.884612864733722
5,101,349,0.849977493922025
5,102,349,0.894529481712581
5,103,349,0.865089544927358
5,104,349,0.85930768773476
5,105,349,0.845591867265404
5,106,349,0.829444005551065
6,107,349,0.755882304553508
6,108,349,0.684760816027754
6,109,349,0.866859099018773
6,110,349,0.269557219921071
