"N","sV","Data.Seed","SS.Seed","Eff_Est_IPS","Eff_Est_CPS_G","SE_Est_IPS","SE_Est_CPS_G","Cover_Est_IPS","Cover_Est_CPS_G"
50,0,31,4,3.88281623518158,3.95304739651709,0.102948182890659,0.0547160912039058,1,1
50,0,31,5,3.86309687227572,3.93500160999695,0.134413900929865,0.0563325469425537,1,1
50,0,31,6,4.06722064503865,3.95217979330288,0.150546301486882,0.0500816244530391,1,1
50,0,32,1,3.80825504569779,3.86773460910465,0.107593528201689,0.045568932384608,1,0
50,0,32,2,3.98315153868858,3.89412728823813,0.120858424734739,0.0541127186543935,1,1
50,0,32,3,4.09190549466114,3.85983930263846,0.11473373373015,0.0485168292619005,1,0
50,0,32,4,3.83302236877974,3.84926105582931,0.107279176483242,0.0501220336801445,1,0
50,0,32,5,3.81434321516108,3.87093391734784,0.108694992579937,0.0511089568848822,1,0
50,0,32,6,4.03760285788054,3.89350085757666,0.130417333214209,0.0510382197065676,1,0
50,0,33,1,4.01393310783275,4.02561681822317,0.116019477200831,0.0548738466255382,1,1
50,0,33,2,3.95530986306556,4.02677229101883,0.146707271295859,0.0510506041297477,1,1
50,0,33,3,4.19980124160826,4.01727746742287,0.115354455210073,0.0588920910345346,1,1
50,0,33,4,4.02042935175881,4.03165638618077,0.150586466264826,0.0583706856149819,1,1
50,0,33,5,3.88400237608784,4.00832355567144,0.122162781898664,0.0505732470581848,1,1
50,0,33,6,3.93448170395808,4.04156893153503,0.120915449253197,0.058221595519871,1,1
50,0,34,1,4.01874465500806,4.0175919991764,0.0848874239251809,0.0582834754978142,1,1
50,0,34,2,3.93552458908024,4.04297955383517,0.0841905052697342,0.051021448365635,1,1
50,0,34,3,3.85986290548333,4.02763847615865,0.0929339436611657,0.0519253904105796,1,1
50,0,34,4,3.93470722295864,4.03416712713881,0.0867489614890565,0.0509979100825102,1,1
50,0,34,5,3.85438387323481,4.05337558095451,0.111437281449449,0.0521150697226926,1,1
50,0,34,6,3.90353367868382,4.04205901427215,0.0999040102221637,0.0589410031481077,1,1
50,0,35,1,3.89874165551763,3.99282986049104,0.138033468209959,0.0578908735777104,1,1
50,0,35,2,4.04398188438755,4.01726414872418,0.132120232969314,0.0620315824215032,1,1
50,0,35,3,3.99665681686032,3.98622736322327,0.154894521112235,0.0536761745440688,1,1
50,0,35,4,4.19753245219723,3.96858539496948,0.162771371254566,0.0594920108772488,1,1
50,0,35,5,4.09301241106671,3.99673052463709,0.121906157561085,0.0580468195667998,1,1
50,0,35,6,3.8888365503989,3.97577640395303,0.154170371638652,0.0551747770674826,1,1
50,0,36,1,4.06898243311712,3.94565660272009,0.13382983169575,0.066526573616504,1,1
50,0,36,2,4.05368215926819,3.96483370397425,0.139943374559255,0.0636519832934388,1,1
50,0,36,3,4.30234409300525,4.01417092228617,0.113610878109392,0.0680802862019445,0,1
50,0,36,4,4.19027703134668,3.9844443684106,0.126614129179533,0.0641323743583235,1,1
50,0,36,5,3.90964070158194,3.98653009347277,0.16150635361302,0.0631960633676817,1,1
50,0,36,6,4.31151881512618,4.01326062738162,0.159429052705695,0.0672956177118615,1,1
50,0,37,1,3.84682879666031,4.05831326202215,0.126352626955188,0.0652877070448331,1,1
50,0,37,2,4.11083714917675,3.96936208129605,0.170334741144697,0.0598767030369796,1,1
50,0,37,3,4.03188869151241,4.01688784661625,0.106203096489883,0.0528306602172154,1,1
50,0,37,4,4.03848288392769,3.97525314281567,0.172995230294636,0.0561291057421884,1,1
50,0,37,5,3.96447224258023,3.9907565346768,0.126153485174658,0.0601495759606802,1,1
50,0,37,6,3.98342786519303,4.01021533428335,0.14330873227594,0.0531658592142012,1,1
50,0,38,1,3.96169823912788,3.94373769692809,0.0899119365142287,0.0580577313075231,1,1
50,0,38,2,3.94226453804618,3.93725735794467,0.0838964148827307,0.0643995185687871,1,1
50,0,38,3,3.95940784162417,3.98403255891851,0.100748538976268,0.0602644287715246,1,1
50,0,38,4,3.84277647382457,3.95279541908376,0.0892846957378784,0.0591606413054202,1,1
50,0,38,5,3.81785727312066,3.9906309919997,0.102966930546798,0.0582270628737395,1,1
50,0,38,6,3.97499959425273,3.98097323486708,0.113657473603023,0.0603349940353015,1,1
50,0,39,1,3.77259593145494,3.8436156931315,0.114333369220783,0.0524259869948388,0,0
50,0,39,2,3.68421861876502,3.86837137628632,0.103291645957666,0.0561548178539133,0,0
50,0,39,3,3.90686437708291,3.86584395141377,0.0923316714970454,0.0573282966487255,1,0
50,0,39,4,3.85049967863512,3.86124431886798,0.0967722783245349,0.0524026244616332,1,0
50,0,39,5,3.70570209380716,3.87012255368556,0.114009115620532,0.0539469328223793,0,0
50,0,39,6,3.74171003668861,3.88823949458206,0.11090939678334,0.053410444148445,0,0
50,0,40,1,4.01319849909427,3.95095021173272,0.107915998691875,0.0492330044348495,1,1
50,0,40,2,3.85944926766102,3.98999621321533,0.0797783653087721,0.0572418220123537,1,1
50,0,40,3,4.05012179134641,3.94147577170481,0.117597311842258,0.0590262598699763,1,1
50,0,40,4,3.87901247520504,3.9472024981623,0.0934684389178019,0.0526006722810932,1,1
