"N","sV","Data.Seed","SS.Seed","Eff_Est_IPS","Eff_Est_CPS_G","SE_Est_IPS","SE_Est_CPS_G","Cover_Est_IPS","Cover_Est_CPS_G"
25,1.5,14,1,3.49278801186762,3.89526096480992,0.847661551094719,0.0531427283828943,1,0
25,1.5,14,2,3.789866507794,3.99746684514428,3.02812513730313,0.0874146194611839,1,1
25,1.5,14,3,1.64424452726627,3.94348470532133,2.70545920612824,0.0476873171710769,1,1
25,1.5,14,4,5.76788644167991,3.8840083853755,1.83466838674806,0.0435051289060091,1,0
25,1.5,14,5,2.35204688437811,3.91417565085354,1.33271579640934,0.0531184409582572,1,1
25,1.5,14,6,3.74603207458986,3.9336585655252,1.16026562857381,0.0432378488280713,1,1
25,1.5,15,1,6.8132652770724,4.13108566407583,4.89118094248068,0.0556279974713287,1,0
25,1.5,15,2,3.23399352187596,4.11967255464762,1.31181818801356,0.0636992807592424,1,1
25,1.5,15,3,5.0733503911286,4.13162914764377,2.64241417637764,0.0618571827745721,1,0
25,1.5,15,4,13.8006971652544,4.10334484787236,4.3538888920232,0.0588916748892709,0,1
25,1.5,15,5,6.40458378512688,4.1074141898111,1.35961885394087,0.0565955045836809,1,1
25,1.5,15,6,-1.28288410270671,4.13546215346226,6.07402083374021,0.0602343639692709,1,0
25,1.5,16,1,-2.00456335479914,3.8763535636487,3.25202422878707,0.0776091832525786,1,1
25,1.5,16,2,20.7617457999359,3.95848030272954,16.9733025843269,0.0693423183003541,1,1
25,1.5,16,3,10.5750011062421,4.00032123015086,6.75476682138792,0.0701211462021381,1,1
25,1.5,16,4,2.94272670557489,3.94203704873727,0.950424221709872,0.0619404726901234,1,1
25,1.5,16,5,-4.84670540189515,3.91213399777717,3.97393601101077,0.134289686431521,0,1
25,1.5,16,6,0.689547641593408,3.97753456298175,1.68811048229121,0.057783468694299,0,1
25,1.5,17,1,6.2673123878579,4.01897103293757,5.0258872806537,0.0580334909213827,1,1
25,1.5,17,2,6.97109651096655,4.05292925131725,1.17325072855284,0.0582337957101391,0,1
25,1.5,17,3,5.16493882677219,4.00730866661515,0.989753925987161,0.0704118829458928,1,1
25,1.5,17,4,0.307268477280883,4.03192701978531,2.07022585876528,0.0671261723724829,1,1
25,1.5,17,5,3.90287480595303,4.02217164514331,1.25404415775658,0.0566446718666809,1,1
25,1.5,17,6,5.47010006842615,4.0899586620226,1.51585867528702,0.0618540505522404,1,1
25,1.5,18,1,8.19285226374745,3.894155172882,4.49696677636491,0.06110588214028,1,1
25,1.5,18,2,43.9835151725439,3.95187649195706,41.6155968102254,0.0757262209123139,1,1
25,1.5,18,3,-8.3518824361651,4.02064833842708,9.98656468364955,0.0710920185937486,1,1
25,1.5,18,4,24.9535139890142,3.94171486375981,10.1011638325145,0.0684356593390396,0,1
25,1.5,18,5,3.30434954799452,4.00787018866912,0.820164893132838,0.0605566185216925,1,1
25,1.5,18,6,3.72252775184369,3.97305068641164,0.691974689593683,0.0550202625440574,1,1
25,1.5,19,1,3.25990929626096,4.05370223234417,1.29096196988679,0.0581228411951153,1,1
25,1.5,19,2,4.12127611313052,4.06265892564599,2.0080636031868,0.0646130375105604,1,1
25,1.5,19,3,1.83546935982695,4.05499046153924,2.07011129224109,0.0392826418853788,1,1
25,1.5,19,4,4.81237982932501,4.05972637849583,0.60882544941358,0.0509286591249175,1,1
25,1.5,19,5,2.56978604513062,4.09639908496237,1.2447160966126,0.0587864319213956,1,1
25,1.5,19,6,7.60199242748045,4.12168849236309,1.90592941072316,0.0635532204726541,1,1
25,1.5,20,1,12.3122337165818,3.96932973789127,5.90527640163776,0.0527123653457911,1,1
25,1.5,20,2,1.70732633812118,3.96554695516083,1.61302415509338,0.0550766609971988,1,1
25,1.5,20,3,4.50310779550919,3.96223735839157,2.29560379216943,0.0630707080549359,1,1
25,1.5,20,4,2.19861960610977,3.98174875279034,2.29242167293605,0.0740846577863374,1,1
25,1.5,20,5,8.26555249600557,3.98618878958592,3.72573256530925,0.0577630096664089,1,1
25,1.5,20,6,4.90880315031325,3.96188850787735,0.870120445856797,0.0666688286686283,1,1
25,1.5,21,1,-9.78989407919401,4.00652195230555,12.5093735569782,0.0723563593634363,1,1
25,1.5,21,2,5.63557092313811,4.05580225199287,0.903658230257112,0.0574048613109916,1,1
25,1.5,21,3,3.14345371818451,4.08392261801773,0.802278387359766,0.066426697243704,1,1
25,1.5,21,4,6.78092065003861,4.04032236992242,1.44934422466292,0.0627697407188886,1,1
